term,mean_active,mean_zero,delta
net sales,0.007502660837069026,0.0031103133235997216,0.004392347513469304
pain,0.005013451525319341,0.0006248366745199058,0.004388614850799435
process,0.009474260575794704,0.005104541548174739,0.004369719027619965
worldwide,0.006243613482786832,0.0019054820042321609,0.004338131478554671
reliability,0.0071691816072647074,0.0028377180493557464,0.004331463557908961
development commercialization,0.004416703238687759,9.981089657545371e-05,0.004316892342112306
manufacturers oems,0.005123320447099846,0.0008212072102892991,0.004302113236810547
edge,0.006392681018894171,0.0021006698671263333,0.004292011151767838
connected,0.005297777062441205,0.0010352114908044221,0.0042625655716367825
force,0.005629004706542478,0.0013883625550344025,0.004240642151508075
tumor,0.004240271136286934,2.32700491597335e-05,0.004217001087127201
secure,0.007258833964773651,0.00309012068195821,0.0041687132828154404
coatings,0.004780994159222939,0.0006274753934534494,0.00415351876576949
operates global,0.007096446248505089,0.0029561785713522544,0.004140267677152835
product candidates,0.004171438366215625,3.227891033364147e-05,0.004139159455881984
ecosystem,0.006049434164071536,0.0019270022442862906,0.0041224319197852455
commercializing,0.004179467370853901,7.377856442857315e-05,0.004105688806425327
sensing,0.004178735019771645,8.339613779801647e-05,0.004095338881973628
connectivity,0.0057497494968898576,0.0016681082052016714,0.004081641291688186
clinical stage,0.004113980251858256,3.378028872125748e-05,0.004080199963136999
thermal,0.005029854678922315,0.0009687570283430796,0.004061097650579236
custom,0.007373222867593264,0.003318389573949044,0.004054833293644221
significant unmet,0.004092358184267125,4.511311628365648e-05,0.004047245067983468
users,0.006799512224491709,0.002753638051936516,0.004045874172555193
aftermarket,0.005961362470649927,0.001915811198763125,0.004045551271886802
primary product,0.007528174767550549,0.0034919391237196304,0.004036235643830918
pending,0.004756009514823972,0.0007285306227258581,0.004027478892098113
technological,0.008784477325351122,0.004759471309469343,0.004025006015881779
intelligent,0.004856029624750618,0.0008508464820143308,0.004005183142736287
fda approved,0.004039485816782682,3.9826448866039974e-05,0.0039996593679166425
rf,0.004117141985672303,0.00014689886169263995,0.0039702431239796625
small molecule,0.003976104338250969,9.640850660030794e-06,0.003966463487590938
development manufacturing,0.004138854254529717,0.000174451197874315,0.003964403056655402
analog,0.004018194775474735,5.957916875115374e-05,0.0039586156067235815
leading,0.012264796600416785,0.008318581697994803,0.003946214902421983
biopharmaceutical company,0.003962674037406458,1.725498530601766e-05,0.003945419052100441
patients suffering,0.0039720958810912105,3.10573708602316e-05,0.003941038510230979
manufactures,0.005478882134050239,0.001556721509932385,0.003922160624117854
candidate,0.004189270710186426,0.00027653438896704216,0.003912736321219384
adoption,0.0047762934834588095,0.0008680022946201821,0.003908291188838627
unified,0.004893936026368239,0.001038795558009686,0.0038551404683585533
surgery,0.004399155666851045,0.0005457127927045203,0.0038534428741465246
molecular,0.003970503418917436,0.00011857581497683176,0.003851927603940604
tests,0.004180066348639577,0.00034048934596891506,0.0038395770026706617
generic,0.004321221313921328,0.000512270752814058,0.00380895056110727
formulations,0.004530067978814642,0.0007269424869193246,0.003803125491895317
processes,0.00802787789589402,0.004241708767461403,0.003786169128432617
laser,0.004232175947842026,0.0004557932934971872,0.0037763826543448387
lung,0.003855043155758843,7.944252350685175e-05,0.0037756006322519913
